Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowani u¿ytkownicy	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
DROP IP-Wirus		Wszystko	Tak	Zablokuj	Nie	Dowolne	Dowolne	57.152.78.163, 192.229.221.95, 40.113.103.199, 23.62.222.56, 192.229.221.95, 13.107.5.93, 20.93.72.182, 54.38.131.251, 185.160.30.9, 89.42.88.207, 213.238.177.129, 38.7.201.57, 217.195.197.70, 185.150.191.44, 217.195.197.108, 213.238.177.132, 135.148.130.60, 78.47.204.80, 189.126.111.138, 51.68.172.35, 45.146.252.6, 89.42.88.207, 38.7.201.57, 5.180.155.47, 213.142.159.168, 213.238.177.132, 85.159.231.54, 170.187.165.242	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Radmin VPN Control Service		Wszystko	Tak	Zezwalaj	Nie	C:\Program Files (x86)\Radmin VPN\RvControlSvc.exe	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Radmin VPN icmpv4		Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	26.0.0.0/8	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
@FirewallAPI.dll,-80201	@FirewallAPI.dll,-80200	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	554, 8554-8558	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
@FirewallAPI.dll,-80206	@FirewallAPI.dll,-80200	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	5000-5020	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Bezprzewodowe urz¹dzenia przenoœne (ruch przychodz¹cy SSDP)	Bezprzewodowe urz¹dzenia przenoœne	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Bezprzewodowe urz¹dzenia przenoœne (ruch przychodz¹cy UPnP)	Bezprzewodowe urz¹dzenia przenoœne	Wszystko	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	TCP	2869	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
BranchCache Content Retrieval (HTTP-In)	BranchCache - Content Retrieval (Uses HTTP)	Wszystko	Nie	Zezwalaj	Nie	SYSTEM	Dowolne	Dowolne	TCP	80	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
BranchCache Hosted Cache Server (HTTP-In)	BranchCache - Hosted Cache Server (Uses HTTPS)	Wszystko	Nie	Zezwalaj	Nie	SYSTEM	Dowolne	Dowolne	TCP	80, 443	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
BranchCache Peer Discovery (WSD-In)	BranchCache - Peer Discovery (Uses WSD)	Wszystko	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	3702	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Brave (mDNS-In)	Brave	Wszystko	Tak	Zezwalaj	Nie	C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe	Dowolne	Dowolne	UDP	5353	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Cortana	Cortana	Wszystko	Nie	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.549981c3f5f10_8wekyb3d8bbwe	
Diagnostyka podstawowych operacji sieciowych — ¿¹danie echa ICMP (ruch przychodz¹cy ICMPv4)	Diagnostyka podstawowych operacji sieciowych	Prywatny, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Diagnostyka podstawowych operacji sieciowych — ¿¹danie echa ICMP (ruch przychodz¹cy ICMPv4)	Diagnostyka podstawowych operacji sieciowych	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Diagnostyka podstawowych operacji sieciowych — ¿¹danie echa ICMP (ruch przychodz¹cy ICMPv6)	Diagnostyka podstawowych operacji sieciowych	Prywatny, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Diagnostyka podstawowych operacji sieciowych — ¿¹danie echa ICMP (ruch przychodz¹cy ICMPv6)	Diagnostyka podstawowych operacji sieciowych	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Dzienniki wydajnoœci i alerty (ruch przychodz¹cy DCOM)	Dzienniki wydajnoœci i alerty	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	135	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Dzienniki wydajnoœci i alerty (ruch przychodz¹cy DCOM)	Dzienniki wydajnoœci i alerty	Domena	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Dowolne	TCP	135	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Dzienniki wydajnoœci i alerty (ruch przychodz¹cy TCP)	Dzienniki wydajnoœci i alerty	Domena	Nie	Zezwalaj	Nie	%systemroot%\system32\plasrv.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Dzienniki wydajnoœci i alerty (ruch przychodz¹cy TCP)	Dzienniki wydajnoœci i alerty	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%systemroot%\system32\plasrv.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Filmy i TV	Filmy i TV	Domena, Prywatny	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.zunevideo_8wekyb3d8bbwe	
Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows (ruch przychodz¹cy PNRP)	Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	3540	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows (ruch przychodz¹cy SSDP)	Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	1900	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows (ruch przychodz¹cy TCP)	Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\p2phost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
