Nazwa	Grupa	Profil	W³¹czony	Akcja	Zast¹p	Program	Adres lokalny	Adres zdalny	Protokó³	Port lokalny	Port zdalny	Autoryzowane komputery	Autoryzowane lokalne podmioty zabezpieczeñ	W³aœciciel u¿ytkownika lokalnego	PolicyAppId	Pakiet aplikacji	
DROP IP-Wirus 2		Wszystko	Tak	Zablokuj	Nie	Dowolne	Dowolne	170.187.165.242, 57.152.78.163, 192.229.221.95, 40.113.103.199, 23.62.222.56, 192.229.221.95, 13.107.5.93, 20.93.72.182, 54.38.131.251, 185.160.30.9, 89.42.88.207, 213.238.177.129, 38.7.201.57, 217.195.197.70, 185.150.191.44, 217.195.197.108, 213.238.177.132, 135.148.130.60, 78.47.204.80, 189.126.111.138, 51.68.172.35, 45.146.252.6, 89.42.88.207, 38.7.201.57, 5.180.155.47, 213.142.159.168, 213.238.177.132	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Block Telemetry IPs		Wszystko	Tak	Zablokuj	Nie	Dowolne	Dowolne	134.170.30.202, 137.116.81.24, 157.56.106.189, 184.86.53.99, 2.22.61.43, 2.22.61.66, 204.79.197.200, 23.218.212.69, 65.39.117.230, 65.52.108.33, 65.55.108.23, 64.4.54.254, 8.36.80.197, 8.36.80.224, 8.36.80.252, 8.36.113.118, 8.36.113.141, 8.36.80.230, 8.36.80.231, 8.36.113.126, 8.36.80.195, 8.36.80.217, 8.36.80.237, 8.36.80.246, 8.36.113.116, 8.36.113.139, 8.36.80.244, 216.228.121.209	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
@FirewallAPI.dll,-80204	@FirewallAPI.dll,-80200	Wszystko	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	554, 8554-8558	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Aparat Windows	Aparat Windows	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windowscamera_8wekyb3d8bbwe	
Bezprzewodowe urz¹dzenia przenoœne (ruch wychodz¹cy SSDP)	Bezprzewodowe urz¹dzenia przenoœne	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Bezprzewodowe urz¹dzenia przenoœne (ruch wychodz¹cy TCP)	Bezprzewodowe urz¹dzenia przenoœne	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\wudfhost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	15740	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Bezprzewodowe urz¹dzenia przenoœne (ruch wychodz¹cy TCP)	Bezprzewodowe urz¹dzenia przenoœne	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\wudfhost.exe	Dowolne	Dowolne	TCP	Dowolne	15740	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Bezprzewodowe urz¹dzenia przenoœne (ruch wychodz¹cy UPnP)	Bezprzewodowe urz¹dzenia przenoœne	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2869	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Bezprzewodowe urz¹dzenia przenoœne (ruch wychodz¹cy UPnPHost)	Bezprzewodowe urz¹dzenia przenoœne	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	2869	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
BranchCache Content Retrieval (HTTP-Out)	BranchCache - Content Retrieval (Uses HTTP)	Wszystko	Nie	Zezwalaj	Nie	SYSTEM	Dowolne	Dowolne	TCP	Dowolne	80	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
BranchCache Hosted Cache Client (HTTP-Out)	BranchCache - Hosted Cache Client (Uses HTTPS)	Wszystko	Nie	Zezwalaj	Nie	SYSTEM	Dowolne	Dowolne	TCP	Dowolne	80, 443	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
BranchCache Hosted Cache Server(HTTP-Out)	BranchCache - Hosted Cache Server (Uses HTTPS)	Wszystko	Nie	Zezwalaj	Nie	SYSTEM	Dowolne	Dowolne	TCP	80, 443	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
BranchCache Peer Discovery (WSD-Out)	BranchCache - Peer Discovery (Uses WSD)	Wszystko	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3702	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Cortana	Cortana	Wszystko	Tak	Zablokuj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.549981c3f5f10_8wekyb3d8bbwe	
Diagnostyka podstawowych operacji sieciowych — ¿¹danie echa ICMP (ruch wychodz¹cy ICMPv4)	Diagnostyka podstawowych operacji sieciowych	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Diagnostyka podstawowych operacji sieciowych — ¿¹danie echa ICMP (ruch wychodz¹cy ICMPv4)	Diagnostyka podstawowych operacji sieciowych	Prywatny, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv4	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Diagnostyka podstawowych operacji sieciowych — ¿¹danie echa ICMP (ruch wychodz¹cy ICMPv6)	Diagnostyka podstawowych operacji sieciowych	Domena	Nie	Zezwalaj	Nie	System	Dowolne	Dowolne	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Diagnostyka podstawowych operacji sieciowych — ¿¹danie echa ICMP (ruch wychodz¹cy ICMPv6)	Diagnostyka podstawowych operacji sieciowych	Prywatny, Publiczny	Nie	Zezwalaj	Nie	System	Dowolne	Podsieæ lokalna	ICMPv6	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Œrodowiska i telemetria po³¹czonego u¿ytkownika	DiagTrack	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	443	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Domyœlny ekran blokady systemu Windows	Domyœlny ekran blokady systemu Windows	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.lockapp_cw5n1h2txyewy	
Filmy i TV	Filmy i TV	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.zunevideo_8wekyb3d8bbwe	
Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows (ruch wychodz¹cy PNRP)	Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	UDP	Dowolne	3540	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows (ruch wychodz¹cy SSDP)	Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	1900	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows (ruch wychodz¹cy TCP)	Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\p2phost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows (ruch wychodz¹cy WSD)	Funkcja Podstawa wspó³pracy w sieci równorzêdnej systemu Windows	Wszystko	Nie	Zezwalaj	Nie	%SystemRoot%\system32\p2phost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3702	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Funkcje rodzinne firmy Microsoft	Funkcje rodzinne firmy Microsoft	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windows.parentalcontrols_cw5n1h2txyewy	
Funkcjonalnoœæ rzutowania do urz¹dzenia (ruch wychodz¹cy qWave TCP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Prywatny, Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Modu³y renderowania funkcji Odtwarzaj na	TCP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Funkcjonalnoœæ rzutowania do urz¹dzenia (ruch wychodz¹cy qWave UDP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Prywatny, Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Modu³y renderowania funkcji Odtwarzaj na	UDP	Dowolne	2177	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch wychodz¹cy przesy³ania strumieniowego RTP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Domena	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Dowolne	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch wychodz¹cy przesy³ania strumieniowego RTP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Prywatny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Serwer przesy³ania strumieniowego rzutowania do urz¹dzenia (ruch wychodz¹cy przesy³ania strumieniowego RTP)	Funkcjonalnoœæ rzutowania do urz¹dzenia	Publiczny	Tak	Zezwalaj	Nie	%SystemRoot%\system32\mdeserver.exe	Dowolne	Modu³y renderowania funkcji Odtwarzaj na	UDP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Dane wychodz¹ce grupy domowej	Grupa domowa	Prywatny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	3587	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Zezwolenie na dane wychodz¹ce grupy domowej (PNRP)	Grupa domowa	Prywatny	Nie	Zezwalaj	Nie	%systemroot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	UDP	Dowolne	3540	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Host œrodowiska sklepu Store	Host œrodowiska sklepu Store	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.storepurchaseapp_8wekyb3d8bbwe	
Instalator aplikacji	Instalator aplikacji	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.desktopappinstaller_8wekyb3d8bbwe	
Instrumentacja zarz¹dzania Windows (ruch wychodz¹cy WMI)	Instrumentacja zarz¹dzania Windows (WMI)	Prywatny, Publiczny	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Podsieæ lokalna	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Instrumentacja zarz¹dzania Windows (ruch wychodz¹cy WMI)	Instrumentacja zarz¹dzania Windows (WMI)	Domena	Nie	Zezwalaj	Nie	%SystemRoot%\system32\svchost.exe	Dowolne	Dowolne	TCP	Dowolne	Dowolne	Dowolne	Dowolne	Dowolne	Brak	Dowolne	
Kalkulator Windows	Kalkulator Windows	Wszystko	Tak	Zezwalaj	Nie	Dowolne	Dowolne	Dowolne	Dowolny	Dowolne	Dowolne	Dowolne	Dowolne	ADMIN-PC\admin	Brak	microsoft.windowscalculator_8wekyb3d8bbwe	
